Total: 301 series
  'معجزة القرن'                                           ->   13 eps, 1 season(s)
  'جلال الدين الرومي'                                     ->   11 eps, 1 season(s)
  'الجيلاني'                                              ->   11 eps, 1 season(s)
  'ابن القناص'                                            ->    8 eps, 1 season(s)
  'عاكف'                                                  ->   13 eps, 1 season(s)
  'الخياط'                                                ->   15 eps, 2 season(s)
  'barbaros'                                              ->   53 eps, 1 season(s)
  'جلال الدين الخوارزمي'                                  ->   12 eps, 1 season(s)
  'اليوم الاخير'                                          ->    9 eps, 1 season(s)
  'الب ارسلان'                                            ->   61 eps, 1 season(s)
  'القليل من ضوء النهار'                                  ->   36 eps, 1 season(s)
  'الفخ'                                                  ->   26 eps, 1 season(s)
  'الاوغوز التسعة'                                        ->    6 eps, 1 season(s)
  'تلك الفتاة'                                            ->   24 eps, 1 season(s)
  'الطيبة'                                                ->   28 eps, 1 season(s)
  'الذئب الوحيد'                                          ->   32 eps, 1 season(s)
  'طبيب القرية'                                           ->   32 eps, 1 season(s)
  'لتأتي الحياة كما تشاء'                                 ->   41 eps, 1 season(s)
  'حكاية خرافية'                                          ->   13 eps, 1 season(s)
  'الاختيار الصعب'                                        ->    8 eps, 1 season(s)
  'الأمانة'                                               ->    2 eps, 1 season(s)
  'الياقة المغبرة'                                        ->   26 eps, 1 season(s)
  'الامانة'                                               ->   12 eps, 1 season(s)
  'اسمعني'                                                ->   20 eps, 1 season(s)
  'اه اين'                                                ->    7 eps, 1 season(s)
  'حكاية وردة'                                            ->   17 eps, 1 season(s)
  'اخفيتك في قلبي'                                        ->    7 eps, 1 season(s)
  'سيعجبك'                                                ->   20 eps, 1 season(s)
  'السجين'                                                ->   31 eps, 1 season(s)
  'في السر والخفاء'                                       ->    8 eps, 1 season(s)
  'الهروب'                                                ->    8 eps, 1 season(s)
  'الملحمة'                                               ->   28 eps, 1 season(s)
  'القاضي'                                                ->   11 eps, 1 season(s)
  'كان يا ما كان في شوكوروفا'                             ->   12 eps, 1 season(s)
  'السبورة السوداء'                                       ->   20 eps, 1 season(s)
  'ابني'                                                  ->   16 eps, 1 season(s)
  'عزيز'                                                  ->   29 eps, 1 season(s)
  'عديم الوفاء'                                           ->   12 eps, 1 season(s)
  'ثلاثة قروش'                                            ->   84 eps, 1 season(s)
  'كل ما يخص الزواج'                                      ->   34 eps, 1 season(s)
  'اراضي غير محكومة'                                      ->   16 eps, 1 season(s)
  'gar7 elqalb'                                           ->   34 eps, 1 season(s)
  'حلقة'                                                  ->   19 eps, 1 season(s)
  'حياتي انا'                                             ->    7 eps, 1 season(s)
  '7kaia gazera'                                          ->   26 eps, 1 season(s)
  'مشاهدة مسلسل شقة الابرياء'                             ->   12 eps, 1 season(s)
  'الضيف'                                                 ->    6 eps, 1 season(s)
  'الامانة الموسم الثاني'                                 ->   12 eps, 1 season(s)
  'حكاية المدينة البعيدة'                                 ->    6 eps, 1 season(s)
  'حيوات مكسورة'                                          ->   34 eps, 1 season(s)
  'الاول والاخير انت'                                     ->   10 eps, 2 season(s)
  '7ob mantq antqam'                                      ->   42 eps, 1 season(s)
